Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Estimated Lost Lifetime Wages,Estimated Lost Lifetime Wages Description,Estimated Lost Lifetime State Income Tax Revenue,Estimated Lost Lifetime State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude
County,Washington,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,97889470.90,Estimated lost lifetime wages due to mortality caused by opioid use,3005206.76,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",52
County,Cambria,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,56789054.92,Estimated lost lifetime wages due to mortality caused by opioid use,1743423.99,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,11,11,42,021,"(40.4912749067, -78.7189417385)",2
County,Adams,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,18824624.99,Estimated lost lifetime wages due to mortality caused by opioid use,577915.99,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,1,01,42,001,"(39.8720956503, -77.2222427076)",39
County,Indiana,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,17250707.65,Estimated lost lifetime wages due to mortality caused by opioid use,529596.72,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,32,32,42,063,"(40.6529549748, -79.0933349286)",19
County,Clearfield,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,14815467.66,Estimated lost lifetime wages due to mortality caused by opioid use,454834.86,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,17,17,42,033,"(41.0004290024, -78.4755834299)",8
County,Monroe,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,32918709.38,Estimated lost lifetime wages due to mortality caused by opioid use,1010604.38,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,45,45,42,089,"(41.0609178653, -75.3408360302)",56
County,Lehigh,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,106499112.90,Estimated lost lifetime wages due to mortality caused by opioid use,3269522.77,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,39,39,42,077,"(40.6146479416, -75.6009948118)",26
County,Northampton,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,76851151.66,Estimated lost lifetime wages due to mortality caused by opioid use,2359330.36,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,48,48,42,095,"(40.754595404, -75.3126372576)",59
County,Clarion,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,6036119.36,Estimated lost lifetime wages due to mortality caused by opioid use,185308.86,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,16,16,42,031,"(41.1927912877, -79.4248360769)",7
County,Bucks,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,182889513.98,Estimated lost lifetime wages due to mortality caused by opioid use,5614708.08,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,9,09,42,017,"(40.335011331, -75.1129124111)",35
County,Delaware,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,271737441.76,Estimated lost lifetime wages due to mortality caused by opioid use,8342339.46,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,23,23,42,045,"(39.9165786652, -75.4062771212)",28
County,Sullivan,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,,Estimated lost lifetime wages due to mortality caused by opioid use,,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,57,57,42,113,"(41.4480993958, -76.5147922046)",67
County,Blair,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,23192658.61,Estimated lost lifetime wages due to mortality caused by opioid use,712014.62,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,7,07,42,013,"(40.4855502384, -78.349076871)",46
State,Commonwealth,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,3851498050.98,Estimated lost lifetime wages due to mortality caused by opioid use,118240990.17,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,0,00,42,000,"(39.346129, -75.167756)",
County,Jefferson,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,8376462.98,Estimated lost lifetime wages due to mortality caused by opioid use,257157.41,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,33,33,42,065,"(41.1313909115, -79.0010181419)",20
County,Tioga,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,7659779.96,Estimated lost lifetime wages due to mortality caused by opioid use,235155.24,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,59,59,42,117,"(41.7733383358, -77.2578807579)",48
County,Erie,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,61838981.07,Estimated lost lifetime wages due to mortality caused by opioid use,1898456.72,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,25,25,42,049,"(41.9941378702, -80.0407591036)",30
County,Lawrence,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,14173219.07,Estimated lost lifetime wages due to mortality caused by opioid use,435117.83,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,37,37,42,073,"(40.9932503514, -80.3375411446)",27
County,Centre,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,44694127.39,Estimated lost lifetime wages due to mortality caused by opioid use,1372109.71,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,14,14,42,027,"(40.9193135008, -77.8250011212)",5
County,Cambria,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,54519049.15,Estimated lost lifetime wages due to mortality caused by opioid use,1673734.81,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,11,11,42,021,"(40.4912749067, -78.7189417385)",2
County,Cumberland,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,77117550.10,Estimated lost lifetime wages due to mortality caused by opioid use,2367508.79,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,21,21,42,041,"(40.167598388, -77.268662705)",17
County,Bedford,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,7897155.84,Estimated lost lifetime wages due to mortality caused by opioid use,242442.68,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,5,05,42,009,"(40.0073753643, -78.4911647381)",43
County,Northumberland,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,17164066.59,Estimated lost lifetime wages due to mortality caused by opioid use,526936.84,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,49,49,42,097,"(40.8515092572, -76.7118842273)",60
County,Potter,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,915265.06,Estimated lost lifetime wages due to mortality caused by opioid use,28098.64,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,53,53,42,105,"(41.7442064382, -77.8987922939)",63
County,Washington,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,97953494.86,Estimated lost lifetime wages due to mortality caused by opioid use,3007172.29,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",52
County,Lackawanna,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,51922713.19,Estimated lost lifetime wages due to mortality caused by opioid use,1594027.29,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,35,35,42,069,"(41.4391006428, -75.6121834524)",22
County,Mercer,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,16891808.06,Estimated lost lifetime wages due to mortality caused by opioid use,518578.51,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,43,43,42,085,"(41.302377765, -80.2600941079)",54
County,Westmoreland,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,154349680.63,Estimated lost lifetime wages due to mortality caused by opioid use,4738535.20,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,65,65,42,129,"(40.3103149985, -79.471341176)",24
County,Columbia,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,10890451.10,Estimated lost lifetime wages due to mortality caused by opioid use,334336.85,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,19,19,42,037,"(41.0491208559, -76.4100217975)",10
County,Armstrong,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,10677081.93,Estimated lost lifetime wages due to mortality caused by opioid use,327786.42,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,3,03,42,005,"(40.8150952555, -79.4731689893)",41
County,Greene,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,7640599.29,Estimated lost lifetime wages due to mortality caused by opioid use,234566.40,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,30,30,42,059,"(39.8548039342, -80.2294381655)",37
County,Forest,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,,Estimated lost lifetime wages due to mortality caused by opioid use,,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,27,27,42,053,"(41.5135787577, -79.2378099483)",32
County,Lycoming,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,20457795.22,Estimated lost lifetime wages due to mortality caused by opioid use,628054.31,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,41,41,42,081,"(41.3445979226, -77.069424568)",15
County,Snyder,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,7141823.45,Estimated lost lifetime wages due to mortality caused by opioid use,219253.98,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,55,55,42,109,"(40.7711373692, -77.0725596804)",65
County,Venango,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,7204150.94,Estimated lost lifetime wages due to mortality caused by opioid use,221167.43,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,61,61,42,121,"(41.4034125863, -79.7628656104)",50
County,Lawrence,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,22205639.04,Estimated lost lifetime wages due to mortality caused by opioid use,681713.12,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,37,37,42,073,"(40.9932503514, -80.3375411446)",27
County,Montgomery,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,277940841.76,Estimated lost lifetime wages due to mortality caused by opioid use,8532783.84,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,46,46,42,091,"(40.209898739, -75.3725200072)",57
